,Band,Song,Player,Technique,Difficulty,Score,Spotify danceability,Spotify energy,Spotify loudness,Spotify valence,Guitar difficulty,Guitar score,Guitar librosa 1,Guitar librosa 2,Bass difficulty,Bass score,Drums difficulty,Drums score,Piano difficulty,Piano score
1296,Slaver,Tornado,Bass Drive,['Overdriven Guitar'],Intermediate,3/8,0.05,0.65,0.46,0.1,Intermediate,3/8,0.14,0.74,Advanced,6/8,Advanced,2/8,Beginner,5/8
1297,Slaver,Maskdance,Bass Effects,['Distortion Guitar'],Intermediate,3/8,0.62,0.15,0.52,0.34,Intermediate,3/8,0.09,0.11,Advanced,4/8,Intermediate,7/8,Intermediate,7/8
1298,Проэкт,Солнце,Bass Effects,['Distortion Guitar'],Intermediate,3/8,0.04,0.16,0.05,0.75,Intermediate,3/8,0.61,0.64,Beginner,1/8,Beginner,3/8,Intermediate,6/8
1299,Death,Crystal Mountain Classic Version,Kelly Conlon ,['Cello'],,,0.98,0.81,0.04,0.05,,,0.91,0.15,Beginner,1/8,Beginner,6/8,Advanced,2/8
1300,Chopin,Funeral March (Metal Bass Arr.),Track 5,['Distortion Guitar'],Intermediate,3/8,0.75,0.96,0.56,0.57,Intermediate,3/8,0.49,0.01,Beginner,7/8,Beginner,5/8,Beginner,7/8
1301,Thy Serpent,Wounds of Death,Bass Guitar,['Electric Guitar (clean)'],Intermediate,3/8,0.76,0.82,0.21,0.01,Intermediate,3/8,0.81,0.73,Beginner,2/8,Advanced,7/8,Intermediate,2/8
1302,Sun Makers,deathdoomexample,Electric Bass,['Cello'],,,0.47,0.99,0.09,0.98,,,0.7,0.49,Beginner,2/8,Intermediate,5/8,Advanced,7/8
1303,The Age,Dissonance X,Baza,['Acoustic Guitar (steel)'],Advanced,8/8,0.37,0.86,0.92,0.25,Advanced,8/8,0.96,0.59,Advanced,3/8,Beginner,6/8,Beginner,7/8
1304,Dirty Blood,He Did Not Die Upon The Cross,Pista 4,['Acoustic Guitar (steel)'],Advanced,8/8,0.57,0.42,0.5,0.94,Advanced,8/8,0.42,0.47,Intermediate,4/8,Beginner,5/8,Advanced,5/8
1305,Gojira,Explosia,Bass character,['Lead 8 (bass + lead)'],,,0.95,0.51,0.76,0.23,,,0.58,0.09,Intermediate,4/8,Beginner,3/8,Intermediate,5/8
1306,Waldgeflüster,Im Ebersberger Forst,Bass,['Acoustic Guitar (steel)'],Intermediate,3/8,0.33,0.13,0.18,0.74,Intermediate,3/8,0.32,0.3,Beginner,7/8,Beginner,8/8,Advanced,1/8
1307,Mental Fog,Babylon,Bass Chorus,['FX 3 (crystal)'],,,0.08,0.03,0.06,0.35,,,0.47,0.76,Beginner,4/8,Advanced,6/8,Beginner,8/8
1308,Sleep,Dragonaut - D standard,Al Cisneros (Effect),['Overdriven Guitar'],Intermediate,3/8,0.87,0.84,0.16,0.29,Intermediate,3/8,0.79,0.2,Beginner,7/8,Advanced,1/8,Advanced,8/8
1309,Mutilo,Instrumental (guitarra),Track 1,['Acoustic Guitar (steel)'],Intermediate,4/8,0.64,0.88,0.42,0.5,Intermediate,4/8,0.88,0.13,Advanced,2/8,Advanced,1/8,Beginner,1/8
1310,Sarin Reaper,N.G.D.M., Bass,['Distortion Guitar'],Intermediate,3/8,0.75,0.7,0.3,0.69,Intermediate,3/8,0.99,0.24,Intermediate,3/8,Intermediate,7/8,Beginner,3/8
1311,Mastodon,Sultan Curse,Troy Sanders,['Drawbar Organ'],,,0.98,0.95,0.53,0.25,,,0.83,0.58,Advanced,2/8,Advanced,4/8,Intermediate,2/8
1312,Immolated,El Turno De Tu Muerte,Electric Bass,['Distortion Guitar'],Intermediate,3/8,0.81,0.51,0.91,0.89,Intermediate,3/8,0.98,0.16,Beginner,3/8,Beginner,6/8,Advanced,1/8
1313,Cuucucucucucucuc,cuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,Chuck (Bass),['Contrabass'],,,0.51,0.16,0.19,0.47,,,0.35,0.24,Advanced,7/8,Intermediate,5/8,Advanced,2/8
1314,Sarin Reaper,616,BASS,['Distortion Guitar'],Beginner,1/8,0.68,0.38,0.15,0.17,Beginner,1/8,0.51,0.65,Advanced,6/8,Advanced,7/8,Intermediate,7/8
1315,Sarin Reaper,Infant Burial,BASS,['Distortion Guitar'],Intermediate,3/8,0.47,0.79,0.61,0.57,Intermediate,3/8,0.34,0.99,Intermediate,2/8,Advanced,8/8,Beginner,4/8
1316,Sarin Reaper,Underworld Chains,Bass,['Distortion Guitar'],Intermediate,3/8,0.44,0.48,0.73,0.23,Intermediate,3/8,0.81,0.91,Intermediate,6/8,Intermediate,7/8,Beginner,6/8
1317,Sarin Reaper,Sarin Reaper,Track 1,['Distortion Guitar'],Beginner,2/8,0.66,0.55,0.06,0.93,Beginner,2/8,0.45,0.61,Advanced,3/8,Beginner,3/8,Advanced,3/8
1318,Sarin Reaper,Panzramik Ritez,Track 1,['Distortion Guitar'],Beginner,2/8,0.81,0.61,0.39,0.86,Beginner,2/8,0.94,0.68,Beginner,5/8,Intermediate,5/8,Advanced,7/8
1319,Breakdown Of Sanity,Crumble,Guitarra 1,['Distortion Guitar'],Intermediate,3/8,0.62,0.25,0.09,0.84,Intermediate,3/8,0.58,0.64,Intermediate,8/8,Advanced,1/8,Beginner,5/8
1320,Competition 5,Your Majesty,Lead Guitar,['Distortion Guitar'],Intermediate,4/8,0.07,0.96,0.13,0.41,Intermediate,4/8,0.03,0.32,Intermediate,5/8,Beginner,1/8,Beginner,3/8
1321,Crazy Trains,Falah,Voc3,['Pad 3 (polysynth)'],,,0.86,0.67,0.45,0.39,,,0.1,0.73,Intermediate,1/8,Intermediate,5/8,Beginner,6/8
1322,Jason Deadwyler,Death By Millions,Track 1,['Distortion Guitar'],Intermediate,3/8,0.95,0.63,0.47,0.09,Intermediate,3/8,0.17,0.1,Intermediate,5/8,Intermediate,2/8,Advanced,2/8
1323,Deadsy,Fox On The Run,Elijah,"['guitar', 'Overdriven Guitar']",Beginner,1/8,0.94,0.74,0.44,0.6,Beginner,1/8,0.98,0.47,Intermediate,5/8,Advanced,7/8,Beginner,8/8
1324,Djeena Circus,Adramelec,Add Guitar,['Acoustic Guitar (steel)'],Intermediate,3/8,0.32,0.97,0.16,0.03,Intermediate,3/8,0.95,0.17,Beginner,3/8,Intermediate,5/8,Intermediate,1/8
1325,MSB Competition Mar-Apr 2005,Insipid 2005,Add. Guitar,"['A Tunning', 'Distortion Guitar']",Intermediate,3/8,0.56,1.0,0.67,0.23,Intermediate,3/8,0.31,0.66,Advanced,3/8,Beginner,5/8,Intermediate,8/8
1326,Suicide Silence,Lifted,Track 5,['Distortion Guitar'],Beginner,2/8,0.55,0.67,0.69,0.75,Beginner,2/8,0.52,0.61,Intermediate,5/8,Advanced,7/8,Intermediate,2/8
1327,D'espairsRay,Angeldust,Karyu,"['Guitar 1', 'Distortion Guitar']",Intermediate,3/8,0.14,0.26,0.68,0.13,Intermediate,3/8,0.56,0.12,Beginner,7/8,Advanced,3/8,Advanced,5/8
1328,D'espairsRay,Kaleidoscope,Karyu,"['Guitar 2', 'Distortion Guitar']",Intermediate,3/8,0.84,0.36,0.98,0.53,Intermediate,3/8,0.37,0.84,Intermediate,4/8,Advanced,6/8,Beginner,3/8
1329,D'espairsRay,Mirror,Karyu,"['Guitar 3', 'Distortion Guitar']",Intermediate,3/8,0.2,0.67,0.03,0.18,Intermediate,3/8,0.46,0.15,Beginner,4/8,Intermediate,6/8,Intermediate,7/8
1330,Evans Blue,The Pursuit,Track 1,['Distortion Guitar'],Beginner,2/8,0.08,0.31,0.91,0.7,Beginner,2/8,0.28,0.07,Intermediate,8/8,Advanced,8/8,Intermediate,3/8
1331,Jesu,Silver,,"['Layer', 'Overdriven Guitar 1']",Beginner,1/8,0.55,0.9,0.26,0.12,Beginner,1/8,0.24,0.74,Advanced,6/8,Beginner,5/8,Beginner,4/8
1332,Hava Nagila,Rootwater,Sebastian,['Distortion Guitar'],Beginner,1/8,0.47,0.3,1.0,0.72,Beginner,1/8,0.35,0.28,Beginner,6/8,Advanced,4/8,Intermediate,6/8
1333,Tom Chiron,Whered You Get That Shirt,Track 1,['Distortion Guitar'],Intermediate,3/8,0.72,0.2,0.95,0.39,Intermediate,3/8,0.23,0.09,Advanced,7/8,Advanced,7/8,Intermediate,3/8
1334,Remembering Vengeance,Destruction,Track 2,['Distortion Guitar'],Advanced,8/8,0.06,0.01,0.98,0.07,Advanced,8/8,0.37,0.1,Intermediate,7/8,Intermediate,3/8,Beginner,5/8
1335,Ozzy Osbourne,Black Rain,Rhy. Gtr. 1,['Distortion Guitar'],Beginner,2/8,0.09,0.97,0.15,0.97,Beginner,2/8,0.81,0.79,Intermediate,2/8,Advanced,1/8,Beginner,5/8
1336,Suicide Silence,Girl Of Glass,Spur 1,['Distortion Guitar'],Intermediate,3/8,0.9,0.56,0.84,0.99,Intermediate,3/8,0.89,0.52,Intermediate,2/8,Intermediate,3/8,Beginner,3/8
1337,Suicide Silence,Distorted Thought Of Addiction,Guitar 1,['Overdriven Guitar'],Intermediate,4/8,0.91,0.09,0.96,0.18,Intermediate,4/8,0.55,0.47,Beginner,4/8,Beginner,8/8,Advanced,6/8
1338,Suicide Silence,Eyes Sewn Shut,GTR2,['Distortion Guitar'],Intermediate,4/8,0.54,0.25,0.88,0.01,Intermediate,4/8,0.96,0.01,Advanced,6/8,Beginner,5/8,Advanced,4/8
1339,Ofensywnyrondel,123123123,Utwór 1,['Distortion Guitar'],Intermediate,3/8,0.02,0.4,0.21,0.28,Intermediate,3/8,0.79,0.07,Intermediate,5/8,Advanced,1/8,Beginner,3/8
1340,Slipknot,Yen,Mick Thomson,['Distortion Guitar'],Beginner,2/8,0.19,0.1,0.01,0.22,Beginner,2/8,0.28,0.45,Intermediate,8/8,Intermediate,5/8,Beginner,5/8
1341,Chelsea Grin,Lifeless,Guitar 2,['Distortion Guitar'],Beginner,2/8,0.5,0.29,0.72,0.18,Beginner,2/8,0.84,0.36,Advanced,5/8,Intermediate,2/8,Beginner,7/8
1342,Chelsea Grin,Judgement,Rhythm Guitar,['Distortion Guitar'],Beginner,2/8,0.53,0.53,0.71,0.53,Beginner,2/8,0.12,0.71,Intermediate,2/8,Intermediate,5/8,Beginner,2/8
1343,We Butter The Bread With Butter,Superfohn Bananendate,Extra Guitar,['Distortion Guitar'],Intermediate,3/8,0.99,0.65,0.27,0.6,Intermediate,3/8,0.63,0.91,Intermediate,4/8,Advanced,3/8,Advanced,2/8
1344,D'espairsRay,Lizard,Track 2,['Distortion Guitar'],Intermediate,3/8,0.58,0.6,0.71,0.45,Intermediate,3/8,0.18,0.28,Advanced,1/8,Beginner,3/8,Beginner,8/8
1345,Garbage Guts,Leprotic Foetal Frenzy,Distortion Guitar,[],Intermediate,3/8,0.38,0.68,0.49,0.46,Intermediate,3/8,0.23,0.38,Beginner,3/8,Advanced,5/8,Advanced,3/8
1346,Jesu,Brighteyes,Distortion Guitar 1,[],Beginner,2/8,0.53,0.4,0.68,0.31,Beginner,2/8,0.33,0.24,Intermediate,4/8,Beginner,2/8,Beginner,5/8
1347,Tremble Oh Earth,Eternal,Guitar 2,['Distortion Guitar'],Intermediate,3/8,0.89,0.79,0.46,0.91,Intermediate,3/8,1.0,0.64,Beginner,1/8,Intermediate,5/8,Intermediate,3/8
1348,The Bleeding Effect,You're All The Same,Ethan,['Distortion Guitar'],Intermediate,4/8,0.89,0.67,0.1,0.47,Intermediate,4/8,0.27,0.49,Beginner,2/8,Intermediate,2/8,Advanced,3/8
1349,Bloodpurge,Chainsawdomy,Guitar 1,['Distortion Guitar'],Intermediate,4/8,0.8,0.26,0.63,0.9,Intermediate,4/8,0.46,0.31,Intermediate,3/8,Intermediate,5/8,Intermediate,6/8
1350,Combustion,The Beginning,Fabian,['Distortion Guitar'],Intermediate,3/8,0.58,0.52,0.31,0.71,Intermediate,3/8,0.27,0.93,Advanced,8/8,Intermediate,7/8,Beginner,1/8
1351,Bloodpurge,Ridgway,Guitar 2,['Distortion Guitar'],Intermediate,3/8,0.03,0.68,0.43,0.48,Intermediate,3/8,0.92,0.37,Advanced,1/8,Advanced,7/8,Advanced,3/8
1352,Zctt,Outside Of You,Raita 1,['Distortion Guitar'],Intermediate,3/8,0.2,0.38,0.83,0.88,Intermediate,3/8,0.78,0.99,Beginner,4/8,Advanced,2/8,Beginner,8/8
1353,Duath,Nektar,Rhytm Guitar,['Distortion Guitar'],Intermediate,3/8,0.42,0.34,0.52,0.39,Intermediate,3/8,0.57,0.87,Advanced,5/8,Advanced,7/8,Advanced,2/8
1354,Duath,Eben,Rhytm Guitar,['Distortion Guitar'],Intermediate,3/8,0.88,0.23,0.49,0.06,Intermediate,3/8,0.56,0.18,Intermediate,7/8,Intermediate,5/8,Beginner,1/8
1355,Misc. Unsigned Bands,Torn From The Sky -,Track 2,['Distortion Guitar'],Intermediate,4/8,0.4,0.79,0.21,0.54,Intermediate,4/8,0.47,0.4,Beginner,5/8,Beginner,8/8,Intermediate,7/8
1356,Red,Forever,Guitar Fill-Ins,['Distortion Guitar'],Intermediate,3/8,0.4,0.47,0.47,0.55,Intermediate,3/8,0.68,0.07,Advanced,5/8,Intermediate,6/8,Intermediate,3/8
1357,We Butter The Bread With Butter,Der Anfang Vom Ende,Strings,['String Ensemble 1'],,,0.85,0.68,0.73,0.73,,,0.4,0.71,Advanced,4/8,Beginner,7/8,Advanced,5/8
1358,We Butter The Bread With Butter,Oh Mama Mach Kartoffelsalat,Strings 1,['String Ensemble 1'],,,0.04,0.81,0.72,0.58,,,0.72,0.65,Beginner,6/8,Advanced,1/8,Advanced,5/8
1359,We Butter The Bread With Butter,Der Tag An Dem Die Welt Unterging,Git 1,['Distortion Guitar'],Intermediate,4/8,0.62,0.41,0.29,0.0,Intermediate,4/8,0.44,0.52,Advanced,1/8,Advanced,1/8,Advanced,3/8
1360,Suicide Silence,Soak In Tears,Gtr 1,['Distortion Guitar'],Beginner,1/8,0.56,0.28,0.74,0.9,Beginner,1/8,0.58,0.57,Beginner,7/8,Advanced,2/8,Advanced,1/8
1361,Suicide Silence,Your Creations,Spår 2,['Distortion Guitar'],Intermediate,5/8,0.12,0.86,0.62,0.62,Intermediate,5/8,0.12,0.63,Advanced,4/8,Advanced,5/8,Intermediate,4/8
1362,Killing The Messenger,Melodeath,Rhythm,['Distortion Guitar'],Intermediate,4/8,0.95,0.82,0.47,0.23,Intermediate,4/8,0.04,0.17,Intermediate,1/8,Intermediate,8/8,Beginner,1/8
1363,The Southern Oracle,This Pit Got Deeper,guitar 2,['Distortion Guitar'],Intermediate,3/8,0.61,0.77,0.23,0.61,Intermediate,3/8,0.14,0.3,Advanced,7/8,Intermediate,8/8,Beginner,4/8
1364,The Southern Oracle,Rest In Pieces,guitar 1,['Distortion Guitar'],Intermediate,5/8,0.48,0.05,0.89,0.85,Intermediate,5/8,0.49,0.34,Intermediate,1/8,Intermediate,6/8,Beginner,5/8
1365,The Southern Oracle,Traitor Holocaust,guitar 3,['Distortion Guitar'],Intermediate,5/8,0.55,0.27,0.24,0.44,Intermediate,5/8,0.83,0.02,Advanced,8/8,Beginner,7/8,Advanced,8/8
1366,The Southern Oracle,Handem In The Front Yard,guitar 1,['Distortion Guitar'],Intermediate,3/8,0.73,0.49,0.54,0.49,Intermediate,3/8,0.6,0.34,Intermediate,1/8,Beginner,4/8,Intermediate,7/8
1367,Schuylar Pellizzer,Compilation 1,Electric Guitar 1,['Distortion Guitar'],Intermediate,4/8,0.57,0.54,0.34,0.23,Intermediate,4/8,0.85,0.39,Beginner,7/8,Advanced,4/8,Beginner,7/8
1368,We Butter The Bread With Butter,Mein Baumhaus,Synth 3,['FX 8 (sci-fi)'],,,0.66,0.49,0.62,0.14,,,0.2,0.94,Beginner,3/8,Beginner,3/8,Beginner,7/8
1369,We Butter The Bread With Butter,Wir Gehen An Land,Synth Lead,['Lead 2 (sawtooth)'],,,0.25,0.66,0.63,0.1,,,0.94,0.64,Intermediate,2/8,Intermediate,6/8,Advanced,3/8
1370,Phoenix,1901,Keyboards,['Lead 2 (sawtooth) 1'],,,0.88,0.25,0.78,0.18,,,0.88,0.22,Beginner,5/8,Beginner,5/8,Intermediate,8/8
1371,We Butter The Bread With Butter,Gluehwuermchen,Strings,['String Ensemble 1'],,,0.19,0.92,0.37,0.69,,,0.06,0.23,Beginner,4/8,Intermediate,8/8,Advanced,8/8
1372,Xutos & Pontapés,O Homem Do Leme,Guitar 2 Heavy Distortion,['Distortion Guitar'],Beginner,1/8,0.17,0.47,0.9,0.02,Beginner,1/8,0.53,0.49,Beginner,4/8,Intermediate,1/8,Beginner,7/8
1373,Lunar Goddess Fertility,Lunar Goddess' Fertility,Track 5,['Distortion Guitar'],Intermediate,5/8,0.29,0.82,0.02,0.95,Intermediate,5/8,0.77,0.11,Beginner,7/8,Beginner,3/8,Intermediate,7/8
1374,Habiru,Usurpers Of The Golden Throne,Pista 1,['Distortion Guitar'],Intermediate,4/8,0.16,0.23,0.49,0.75,Intermediate,4/8,0.42,0.93,Advanced,2/8,Beginner,6/8,Advanced,3/8
1375,Habiru,The Ancient Keepers (Rebirth Of The Carrier Buried Underneath),Pista 2,['Distortion Guitar'],Intermediate,4/8,0.69,0.46,0.66,0.77,Intermediate,4/8,0.37,0.6,Intermediate,4/8,Intermediate,8/8,Beginner,5/8
1376,Habiru,Richest Kingdom Of The Tigris,Pista 3,['Distortion Guitar'],Intermediate,4/8,0.44,0.97,0.01,0.53,Intermediate,4/8,0.67,0.32,Intermediate,1/8,Advanced,8/8,Intermediate,4/8
1377,Habiru,The Beginning Of Nothing And Everything.,Pista 2,['Distortion Guitar'],Intermediate,3/8,0.24,0.95,0.36,0.58,Intermediate,3/8,0.25,0.64,Intermediate,3/8,Advanced,3/8,Advanced,1/8
1378,Habiru,"Behemoth, Leviathan And Ziz",Pista 5,['French Horn'],,,0.22,0.71,0.2,0.58,,,0.16,0.5,Intermediate,5/8,Advanced,5/8,Advanced,1/8
1379,Habiru,The Five Towers Of Meru,Pista 4,['Distortion Guitar'],Intermediate,5/8,0.65,0.29,0.05,0.65,Intermediate,5/8,0.33,0.33,Beginner,8/8,Beginner,1/8,Intermediate,7/8
1380,Jebi,Carnifex Hearthless Intro,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8,0.46,0.68,0.97,0.93,Intermediate,3/8,0.56,0.22,Advanced,8/8,Intermediate,8/8,Intermediate,7/8
1381,Pd,14,Я,['Overdriven Guitar'],Intermediate,3/8,0.72,0.62,0.7,0.6,Intermediate,3/8,0.82,0.39,Advanced,3/8,Intermediate,1/8,Intermediate,5/8
1382,Pd,11,Track 2,['Distortion Guitar'],Intermediate,3/8,0.24,0.66,0.35,0.79,Intermediate,3/8,0.89,0.7,Intermediate,4/8,Advanced,3/8,Beginner,7/8
1383,Pd,13,Track 1,['Overdriven Guitar'],Intermediate,3/8,0.11,0.53,0.74,0.52,Intermediate,3/8,0.47,0.91,Intermediate,7/8,Beginner,1/8,Advanced,7/8
1384,Pd,12,Track 4,['Distortion Guitar'],Intermediate,3/8,0.4,0.7,0.1,0.88,Intermediate,3/8,0.16,0.53,Intermediate,2/8,Intermediate,4/8,Advanced,5/8
1385,Rage Against The Machine,No Shelter,[Guitar Harmonizer],['Distortion Guitar'],Beginner,1/8,0.96,0.18,0.78,0.5,Beginner,1/8,0.73,0.2,Beginner,5/8,Advanced,3/8,Beginner,6/8
1386,Chelsea Grin,Last Breath,Raita 1,['Distortion Guitar'],Intermediate,3/8,0.55,0.49,0.05,0.06,Intermediate,3/8,0.38,1.0,Advanced,6/8,Beginner,2/8,Beginner,1/8
1387,Ease Of Disgust,Kaos,12,['Distortion Guitar'],Intermediate,4/8,0.33,0.92,0.45,0.92,Intermediate,4/8,0.42,0.39,Advanced,7/8,Advanced,5/8,Intermediate,5/8
1388,Ill Niño,"Killing You, Killing Me",Diego Verduzco,['Overdriven Guitar'],Beginner,2/8,0.76,0.43,0.22,0.6,Beginner,2/8,0.14,0.52,Beginner,6/8,Advanced,1/8,Intermediate,8/8
1389,Nile,Sacrifice Unto Sebek,Dallas Toller-Wade [Led's clone],['Distortion Guitar'],Advanced,6/8,0.83,0.61,0.41,0.92,Advanced,6/8,0.77,0.11,Advanced,8/8,Beginner,7/8,Advanced,5/8
1390,Genocide Penguins,Genocide Penguins,Track 1,['Distortion Guitar'],Intermediate,4/8,0.31,0.26,0.79,0.6,Intermediate,4/8,0.83,0.26,Intermediate,7/8,Beginner,7/8,Beginner,5/8
1391,Stigmata,В Отражении Глаз,Piano ,['Electric Grand Piano'],,,0.03,0.21,0.7,0.43,,,0.67,0.96,Advanced,8/8,Beginner,2/8,Advanced,2/8
1392,Amatory,X-Files Live,Guitar #2,['Distortion Guitar'],Beginner,2/8,0.56,0.83,0.99,0.37,Beginner,2/8,0.26,0.39,Intermediate,8/8,Advanced,7/8,Intermediate,3/8
1393,Untitled Revolution,Dead In Life,Rob,['Distortion Guitar'],Intermediate,3/8,0.09,0.87,0.23,0.22,Intermediate,3/8,0.82,0.26,Advanced,4/8,Intermediate,1/8,Intermediate,3/8
1394,Dead Infection,After Accident,Tocha,['Distortion Guitar'],Beginner,2/8,0.12,0.33,0.99,0.49,Beginner,2/8,0.72,0.23,Advanced,1/8,Intermediate,2/8,Beginner,2/8
1395,In Hearts Wake,The Night Is For The Hunting,Guitar 1,['Distortion Guitar'],Intermediate,3/8,0.21,0.59,0.45,0.75,Intermediate,3/8,0.18,0.52,Intermediate,6/8,Advanced,7/8,Intermediate,2/8
1396,In Hearts Wake,Prisoner,Guitar 2,['Distortion Guitar'],Intermediate,3/8,0.63,0.36,0.05,0.18,Intermediate,3/8,0.67,0.67,Beginner,2/8,Advanced,2/8,Beginner,1/8
1397,Slipknot,Till We Die,#5,"['Craig Jones', 'Bright Acoustic Piano']",,,0.04,0.55,0.75,0.72,,,0.93,0.17,Beginner,4/8,Beginner,1/8,Intermediate,3/8
1398,The Las Alchemist,No,Pista 1,['Distortion Guitar'],Intermediate,4/8,1.0,0.5,0.85,0.19,Intermediate,4/8,0.83,0.59,Intermediate,3/8,Beginner,4/8,Beginner,2/8
1399,Untitled Revolution,Eternal,Electric Guitar,['Distortion Guitar 2'],Intermediate,3/8,0.0,0.47,0.81,0.27,Intermediate,3/8,0.47,0.49,Advanced,7/8,Beginner,3/8,Beginner,3/8
1400,Slipknot,Till We Die (1 Step Down For Bass),#8,"['Corey Taylor', 'Cello']",,,0.89,0.47,0.61,0.12,,,0.55,0.1,Advanced,1/8,Intermediate,4/8,Beginner,6/8
1401,Untitled Revolution,Spiritual Revolution,Track 1,['Distortion Guitar'],Intermediate,3/8,0.49,0.8,0.25,0.86,Intermediate,3/8,0.47,0.03,Advanced,4/8,Beginner,2/8,Intermediate,4/8
1402,Amatory,Стеклянные Люди,[ALEX],['Distortion Guitar'],Intermediate,3/8,0.58,0.55,0.63,0.02,Intermediate,3/8,0.64,0.75,Advanced,1/8,Beginner,7/8,Advanced,2/8
1403,Abominable Putridity,Remnants Of The Tortured,Track 1,['Distortion Guitar'],Intermediate,4/8,0.75,0.25,0.3,0.87,Intermediate,4/8,0.52,0.35,Intermediate,7/8,Advanced,8/8,Advanced,4/8
1404,Max Lundell,Grej På G,Electric Guitar,['Distortion Guitar 2'],Intermediate,4/8,0.25,0.51,0.77,0.66,Intermediate,4/8,0.29,0.18,Intermediate,5/8,Intermediate,2/8,Beginner,1/8
1405,Untitled Revolution,Intro 2 (Drop A),Electric Guitar,['Distortion Guitar 2'],Intermediate,3/8,0.59,0.04,0.29,0.86,Intermediate,3/8,0.64,0.21,Beginner,5/8,Advanced,2/8,Intermediate,1/8
1406,Untitled Revolution,Predestined Disaster,Rob,['Distortion Guitar'],Intermediate,4/8,0.02,0.13,0.28,0.6,Intermediate,4/8,0.01,0.91,Beginner,1/8,Intermediate,5/8,Intermediate,2/8
1407,Neen :D,(Beast And The Harlot),Track 7,['Lead 8 (bass + lead)'],,,0.39,0.23,0.05,0.4,,,0.11,0.9,Advanced,5/8,Advanced,5/8,Beginner,8/8
1408,Untitled Revolution,Consumed,Track 1,['Distortion Guitar'],Intermediate,3/8,0.32,0.43,0.1,0.22,Intermediate,3/8,0.16,0.05,Advanced,2/8,Intermediate,4/8,Intermediate,3/8
1409,Gazette,Ruthless Deed,Electric Guitar III <葵>,['Distortion Guitar'],Intermediate,3/8,0.64,0.28,0.36,0.16,Intermediate,3/8,1.0,0.25,Advanced,2/8,Intermediate,6/8,Advanced,1/8
1410,Gazette,Devil On My Bed,Electric Guitar <葵>,['Distortion Guitar'],Intermediate,3/8,0.1,0.08,0.89,0.45,Intermediate,3/8,0.77,0.11,Intermediate,2/8,Intermediate,2/8,Intermediate,5/8
1411,Impending Doom,Anything Goes,Center,['Overdriven Guitar'],Intermediate,3/8,0.05,0.71,0.38,0.3,Intermediate,3/8,0.22,0.69,Beginner,3/8,Advanced,4/8,Advanced,3/8
1412,Untitled Revolution,Plague,Luigi,['Distortion Guitar'],Intermediate,3/8,0.07,0.31,0.91,0.62,Intermediate,3/8,0.85,0.75,Beginner,1/8,Beginner,8/8,Intermediate,2/8
1413,Untitled Revolution,Eclipse Of Disease,Luigi,['Distortion Guitar'],Intermediate,3/8,0.37,0.64,0.0,0.5,Intermediate,3/8,0.09,0.8,Intermediate,2/8,Beginner,1/8,Advanced,8/8
1414,Maria,Color,Most suitable guitar: A drop,['Distortion Guitar'],Intermediate,3/8,0.89,0.59,0.21,0.83,Intermediate,3/8,0.86,0.22,Beginner,5/8,Intermediate,6/8,Intermediate,8/8
1415,Machinae Supremacy,Rogue World Asylum,SID 2,['FX 1 (rain)'],,,0.16,0.41,0.25,0.27,,,0.07,0.68,Advanced,1/8,Intermediate,5/8,Beginner,1/8
1416,Untitled Revolution,Who Decides?,Rob,['Distortion Guitar'],Intermediate,3/8,0.75,0.39,0.39,0.51,Intermediate,3/8,0.35,0.58,Advanced,8/8,Advanced,2/8,Intermediate,4/8
1417,Cephalic Carnage,Scientific Remote Viewing,Guitar 1,['Distortion Guitar'],Intermediate,5/8,0.88,0.28,0.54,0.81,Intermediate,5/8,0.85,0.72,Intermediate,5/8,Intermediate,3/8,Intermediate,6/8
1418,Poopy,Asshat,Track 5,['Distortion Guitar'],Intermediate,5/8,0.07,0.99,0.39,0.04,Intermediate,5/8,0.02,0.63,Beginner,6/8,Beginner,4/8,Intermediate,8/8
1419,Untitled Revolution,Dead In Life,Guitare 2,['Distortion Guitar'],Intermediate,5/8,0.79,0.98,0.07,0.81,Intermediate,5/8,0.93,0.8,Intermediate,5/8,Advanced,3/8,Beginner,7/8
1420,Untitled Revolution,Eternal Dreams,Track 2,['Distortion Guitar'],Intermediate,4/8,0.08,0.14,0.17,0.3,Intermediate,4/8,0.66,0.43,Intermediate,6/8,Intermediate,6/8,Beginner,3/8
1421,Shinzm,World Without Rainbows,Lead Guitar,['Overdriven Guitar'],Intermediate,4/8,0.2,0.52,0.33,0.41,Intermediate,4/8,1.0,0.44,Intermediate,5/8,Advanced,4/8,Intermediate,3/8
1422,Untitled Revolution,Dead,Track 2,['Distortion Guitar'],Intermediate,5/8,0.02,0.68,0.53,0.4,Intermediate,5/8,0.61,0.56,Beginner,6/8,Beginner,3/8,Intermediate,7/8
1423,Untitled Revolution,Strangelet,Electric Guitar,['Distortion Guitar 1'],Intermediate,5/8,0.75,0.25,0.72,0.45,Intermediate,5/8,0.6,0.69,Advanced,4/8,Beginner,6/8,Beginner,3/8
1424,Nxt,Nxt,Electric Guitar,['Overdriven Guitar'],Intermediate,3/8,0.76,0.22,0.24,0.54,Intermediate,3/8,0.37,0.81,Beginner,1/8,Intermediate,3/8,Advanced,2/8
